annee,id_eleve,taille_famille,monoparental,pcs_parent,diplome_parent,revenu_mensuel,logement,origine_migratoire,aspiration_famille,implication_parents,opinion_ecole,score_math,score_fr,redoublement,orientation,aspiration_eleve
CP,1,4,1,employe,bac+5,3147,logement_social,aucune,BAC+5,2,3,197.3966367290416,194.34987298945526,0,general,CAP
CP,2,4,0,profession_intermediaire,bac,3859,maison,aucune,CAP,5,5,192.99906971209148,223.48881162651895,0,general,CAP
CP,3,3,0,employe,bac+3,1263,logement_social,un_parent,BAC+5,5,1,196.76293362104943,212.15387695387537,0,general,CAP
CP,4,3,0,ouvrier,bac+5,3318,appartement,aucune,BAC+5,1,3,179.4829262842752,193.8738920826687,0,general,CAP
CP,5,4,0,ouvrier,brevet,2300,logement_social,aucune,BAC+5,3,1,186.5268700365218,189.17090238503616,0,general,CAP
CP,6,6,0,ouvrier,bac+3,1463,logement_social,deux_parents,CAP,4,1,177.61991762897205,205.7456075792066,0,general,CAP
CP,7,5,0,employe,bac+5,2608,appartement,aucune,BAC,2,4,197.64319270307035,228.50573158620568,0,general,CAP
CP,8,2,0,employe,bac,2997,maison,aucune,BAC,2,2,226.25510323909546,214.7131738753026,0,general,BAC
CP,9,3,0,profession_intermediaire,bac+5,1690,appartement,aucune,BAC+5,3,5,215.58972017700953,224.4527911612896,0,general,BAC
CP,10,4,0,cadre,bac,2369,appartement,un_parent,BAC+5,2,1,205.62262562546326,220.55425706075374,0,general,CAP
CP,11,6,1,profession_intermediaire,bac+5,3273,logement_social,un_parent,BAC+5,1,1,208.2218430777715,233.16408806800175,0,general,BAC
CP,12,4,0,employe,bac+5,2778,maison,aucune,BAC,2,5,211.05597292554242,230.89642850078158,0,general,BAC
CP,13,4,0,profession_intermediaire,bac+5,2633,logement_social,aucune,BAC+3,3,4,185.35231524258114,222.91599281278894,0,general,CAP
CP,14,2,1,employe,bac+5,1502,appartement,aucune,BAC+3,5,5,192.81152948322892,212.1485998139455,0,general,CAP
CP,15,5,0,employe,bac+5,1712,maison,aucune,BAC+3,3,3,210.41365130228726,202.73487483463222,0,general,CAP
CP,16,2,0,profession_intermediaire,bac+3,2853,maison,aucune,CAP,3,4,202.29966452542575,224.24523721520927,0,general,CAP
